# events module
# Deprecated code patterns and breaking changes
#
# This file lists deprecated code patterns (replace with newer alternatives)
# and breaking changes (migration notes). The checker scans the codebase
# for deprecations; breaking changes are shown as informational only.
#
# Part of »Zugzwang Project«
# https://www.zugzwang.org/modules/events
#
# @author Gustaf Mossakowski <gustaf@koenige.org>
# @copyright Copyright © 2025-2026 Gustaf Mossakowski
# @license http://opensource.org/licenses/lgpl-3.0.html LGPL-3.0
#
#: Identifier	Type	Search Text	Message	Exclude Pattern
# exclude_pattern: files matching this pattern will be excluded from results (multiple patterns separated by semicolon)
#
2025-07-24-1	code	ISNULL(main_event_id)	if used to check if this is an event (not a timetable entry etc.), check for `event_category_id = /*_ID categories event/event _*/` instead
2026-03-14-1	code	events_path	use route `events_events` instead (note: might have trailing slash)
2026-03-14-2	code_regex	%%% path events .	use route `events_events` instead (note: might have trailing slash)
2026-03-14-3	code	wrap_path('events')	use route `events_events` instead (note: might have trailing slash)
2026-03-14-4	code	events_event_path	removed, paths from routes; use wrap_path()
2026-03-14-5	code	events_events_path	removed, paths from routes; use wrap_path()
2026-03-14-6	code	events_events_yearly_path	removed, paths from routes; use wrap_path()
2026-03-14-7	code	events_ics_path	removed, paths from routes; use wrap_path()
2026-03-14-8	code	events_internal_event_path	removed, paths from routes; use wrap_path()
2026-03-14-9	code	events_internal_path	removed, paths from routes; use wrap_path()
2026-03-14-10	code	events_project_path	removed, paths from routes; use wrap_path()
2026-03-14-11	code	events_projects_path	removed, paths from routes; use wrap_path()
2026-03-14-12	code	events_projects_internal_path	removed, paths from routes; use wrap_path()
